action	imageStyle	message	startTime	endTime	room	roomId	mapId	sessionTimeID	title	abb	description	id
		Session enrollment has not yet begun.<br />	Tuesday, Nov 28, 10:45 AM	11:45 AM	Venetian, Level 5, Palazzo P	1988	0	11571	How the BBC Built a Massive Media Pipeline Using Microservices	ARC330 -	BBC iPlayer is the biggest audio and video-on-demand service in the UK. Over one-third of the country submits 10 million video play-back requests every day, and the service publishes over 10,000 hours of media every week. Moving iPlayer to the cloud has enabled the BBC to shorten the time-to-market of content from 10 hours to 15 minutes. In this session, BBC’s lead architect describes the approach behind creating the iPlayer architecture, which uses Amazon SQS and Amazon SNS in several ways to improve elasticity, reliability, and maintainability. You see how BBC uses AWS messaging to choreograph the 200 microservices in the iPlayer pipeline, maintains data consistency as media traverses the pipeline, and refreshes caches to ensure timely delivery of media to users. This is a rare opportunity to see the internal workings and best practices of one of the largest on-demand content delivery systems operating today.	17553
		Session enrollment has not yet begun.<br />	Tuesday, Nov 28, 4:45 PM	5:45 PM	Venetian, Level 2, Venetian F	1990	0	11016	ElastiCache Deep Dive: Best Practices and Usage Patterns	DAT305 -	In this session, we provide a peek behind the scenes to learn about Amazon ElastiCache's design and architecture. See common design patterns with our Redis and Memcached offerings and how customers have used them for in-memory operations to reduce latency and improve application throughput. During this session, we review ElastiCache best practices, design patterns, and anti-patterns.	14403
		Session enrollment has not yet begun.<br />	Tuesday, Nov 28, 3:15 PM	4:15 PM	MGM, Level 3, Premiere Ballroom 316	2013	0	10850	GPS: IoT Security from Manufacturing to Maintenance	GPSTEC318 -	The threat model for IoT devices is very different from the threat model for cloud applications. Customers must understand what these threats are, prioritize them effectively, and navigate the growing ecosystem of partners that give customers tools to build secure IoT solutions. We showcase how to leverage partner solutions to mitigate threats, explain how to avoid common pitfalls, and make it clear that all IoT solutions must incorporate end-to-end security from the start. We begin with the steps to take in the manufacturing process, how to provision and authenticate devices in the field, and we cover solutions that can help customers comply with IT requirements in the maintenance phase of the product lifecycle.	15141
		Session enrollment has not yet begun.<br />	Monday, Nov 27, 5:30 PM	6:30 PM	MGM, Level 3, Premiere Ballroom 319	2012	0	10853	GPS: Enhancing Customer Security Using AI/ML on AWS	GPSTEC311 -	Data exfiltration—also called data extrusion, data exportation, or data theft—is the unauthorized transfer of data. It is a very serious challenge to business because attackers go after business critical or highly confidential data. Data exfiltration can be done manually by a person, or automated using scripts. Attack sophistication increases by the day. Signature-based techniques to defend against attacks are limited and cannot protect against zero-day attacks. To counter this, we use machine learning (ML) techniques. ML is effective at solving many problems in computer vision, robotics, etc., and is increasingly used in security. Learn an ML technique called anomaly detection, and other state-of-the-art techniques to identify data exfiltration attempts.	15134
		Session enrollment has not yet begun.<br />	Monday, Nov 27, 4:00 PM	5:00 PM	MGM, Level 1, Grand Ballroom 124	2008	0	10883	GPS: The Path to a Successful Cloud Migration: How AWS Marketplace Helps Our Customers Accelerate Their Journey to the Cloud	GPSMKT301 -	AWS Marketplace helps customers migrate their workloads to AWS through a variety of ISV solutions and aids and accelerates the journey to the cloud. AWS Marketplace provides the tools and software for each step of the migration process and post-migration to sustain a cloud operating model. In this session, we explore the various stages of migration into AWS, common challenges that exist in each stage, and how AWS Marketplace helps our customers address some of these challenges.	15122
		Session enrollment has not yet begun.<br />	Tuesday, Nov 28, 1:00 PM	2:00 PM	MGM, Level 3, Premiere Ballroom 312	2003	0	10741	GPS: Are Migration Tools a Puzzle or Perfect Lego Blocks?	GPSBUS212 -	"The AWS Migration tooling segment team has invented migration tool packages that serve three key business objectives. First, technology choice, using competent tools from our ecosystem and AWS migration platform, with a tool recommender that help customers identify the right tools to achieve their business objectives. Next, speed of procurement, with ""Single click"" to procure the tools right from AWS Marketplace. Finally, the cost of migration, with highly discounted tools that reduce the cost of migration by 25 - 30%. In this session, we explain how our customers and SI partners can leverage these packages to enable the frictionless migration of thousands of workloads into AWS."	15110
		Session enrollment has not yet begun.<br />	Tuesday, Nov 28, 11:30 AM	12:30 PM	MGM, Level 3, Premiere Ballroom 312	2003	0	10744	GPS: BI and Interoperability for Better Patient Outcomes	GPSBUS210 -	Across the Healthcare & Life Sciences sector, we’re working to support better consumer and business decisions with innovative technologies. Many factors lead to improved patient outcomes. Ease of access to health information via voice, improved connectivity between disparate health data repositories, infusion of real-world data into R&D for new medical products—these are just a few examples where customers and partners innovate with AWS. Come learn from our partners as they share both their business insights and the design patterns that make these solutions work.	15108
		Session enrollment has not yet begun.<br />	Monday, Nov 27, 4:00 PM	5:00 PM	MGM, Level 1, Grand Ballroom 111	2005	0	10743	GPS: Amazon Connect: Powerful, Proven Cloud Contact Center Solution for Your Enterprise	GPSBUS205 -	In this session, learn about Amazon Connect and how your organization can benefit from its capabilities, extensibility, and scalability. We explain how it’s designed to use AWS natural language understanding to provide enterprise and consumer interactions that replicate the experiences consumers have at home with their Echo products. Learn how to combine Amazon Connect with leading CRM, analytics, and workforce optimization/quality management platforms to provide a complete system of engagement and system of record for enterprises across all verticals and size ranges.	15103
		Session enrollment has not yet begun.<br />	Monday, Nov 27, 4:00 PM	5:00 PM	MGM, Level 3, Premiere 305	2002	0	11267	GPS: Deep Dive on Amazon Lex, AWS Lambda, and IVR	GPSCT201 -	Since its launch on March 28, 2017, interest in Amazon Connect has been overwhelming. Customers are eager to take advantage of our cloud-based Contact Center as a Service (CCaaS) platform, for its low-cost pay-as-you go model, ease of integration, and versatility to efficiently provide dynamic and powerful customer experiences. This session provides a deep technical understanding of how Amazon Connect leverages Amazon Lex and AWS Lambda to create a powerful Interactive Voice Response (IVR) that harnesses the power of natural language to enhance the customer experience.	15540
		Session enrollment has not yet begun.<br />	Monday, Nov 27, 5:30 PM	6:30 PM	MGM, Level 1, Grand Ballroom 117	2010	0	10843	GPS: Deployment Best Practices for Desktop and Application Streaming Solutions on AWS	GPSTEC316 -	"As companies shift workloads into the cloud, enterprise organizations take another look at the end user computing experience. Desktop and application streaming solutions can provide the ""last mile"" between users and their applications and data. We review the elements of desktop and application streaming solutions and the partner ecosystem that surrounds them. Explore the layered approach to image management, mitigating ""state"" for migrations and DR, desktop configuration and lifecycle management, mapping a use case to a solution, and deployment best practices. This session focuses on enterprise organizations migrating to the cloud, and benefits engineers and system administrators new to this space and experienced architects with existing deployments on AWS."	15139
		Session enrollment has not yet begun.<br />	Tuesday, Nov 28, 11:30 AM	12:30 PM	MGM, Level 3, Premiere Ballroom 319	2012	0	10854	GPS: Shipping with Porpoise, a Kubernetes Story	GPSTEC304 -	You've gotten up and running with containers, and now you're trying to understand how to take them to production. In this session, we deep-dive into tools that help you build and manage development and production clusters. We explore CI/CD pipelines that test your code and scan for vulnerabilities, use Docker multistage builds to efficiently use resources, monitor your network, debug issues in development, and monitor your applications as they go to production.	15127
		Session enrollment has not yet begun.<br />	Tuesday, Nov 28, 12:15 PM	1:15 PM	MGM, Level 3, Premiere Ballroom 314	2004	0	10773	GPS: Evolve your Storage Business Models in AWS	GPSBUS217 -	Transitioning on-premises solutions to the cloud and creating SaaS solutions is no small undertaking. Providing unique, differentiated value, adjusting business models, and adroitly messaging your cloud-enabled solutions can set you up for long-term success. In this session, we’ll discuss the opportunity ahead for storage partners with AWS. How to transform solutions to leverage the power of the AWS cloud; will your operational paradigms shift as your customer deployment scenarios do; and can you help and advise customers as they navigate their own cloud transitions? On-premises and born-in-the-cloud partners will discuss how they have transformed their businesses on AWS.	15115
		Session enrollment has not yet begun.<br /><br />Session Time Full	Monday, Nov 27, 1:00 PM	5:00 PM	Mirage, Events Center C3	2145	0	11640	AWS Solutions Training for Partners: Migrating to AWS - Business	BCP16 -	This half-day, introductory-level (non-technical) bootcamp is designed specifically for business professionals at AWS Partner Network (APN) consulting partner organizations who engage with customers to migrate their enterprise IT workloads to AWS at scale. The session focuses on how to identify and qualify enterprise workloads for cloud migration, assess migration readiness, and build a compelling business case for cloud migration. The bootcamp is based on the structured migration methodology developed and used by AWS teams for large-scale migrations. This is NOT a technical bootcamp.	17628
		Session enrollment has not yet begun.<br /><br />Session Time Full	Wednesday, Nov 29, 9:00 AM	5:00 PM	Mirage, Events Center C3	2145	0	11657	Hi Alexa, Where is the Closest Bathroom? (Wednesday)	BCP33 -	This full-day, intermediate-level bootcamp walks you through the essentials of building an Alexa skill, developing AWS Lambda functions, and enriching the Alexa skill with Amazon Artificial Intelligence & Machine Learning. Customers who have a basic understanding of Alexa, Artificial Intelligence & Machine Learning, and Python should join this bootcamp to learn how to develop new tools to improve their interactions with their own customers.	17611
		Session enrollment has not yet begun.<br /><br />Session Time Full	Tuesday, Nov 28, 8:00 AM	12:00 PM	Mirage, Events Center C2	2146	0	11665	Virtual Escape Room (Tuesday AM)	BCP41 -	This half-day, intermediate-level bootcamp is designed to train customers and partners in recently launched AWS services and modern architectures. This bootcamp will feature services such as Amazon Athena, Amazon Rekognition, Amazon Kinesis, Amazon Lex and serverless architecture, using AWS Lambda, Amazon DynamoDB and API Gateway. While deeply immersed in a 3D virtual escape game, the player must solve several puzzles using new AWS services and modern architectures to escape from a series of locked-down floors in a futuristic building. This is an enablement session disguised as a game that improves knowledge retention and familiarity with new AWS services. Prizes and giveaways will be distributed to the top finishers of the game at the end of bootcamp.	17604
		Session enrollment has not yet begun.<br /><br />Session Time Full	Tuesday, Nov 28, 9:00 AM	5:00 PM	Mirage, Grand Ballroom A	2140	0	11626	AWS Certification Exam Readiness: Big Data – Specialty	BCP02 -	The AWS Certified Big Data – Specialty exam validates technical skills and experience in designing and implementing AWS services to derive value from data. Join this full-day, advanced-level bootcamp to learn how to prepare for the exam. The bootcamp covers the structure of the exam, including question formats. The majority of the time is spent discussing several data-driven use cases. Attendees also receive a voucher for a free online practice exam.	17642
		Session enrollment has not yet begun.<br /><br />Session Time Full	Monday, Nov 27, 8:00 AM	12:00 PM	Mirage, Grand Ballroom F	2143	0	11633	AWS Certification Exam Readiness: Solutions Architect – Associate (Monday AM)	BCP09 -	The AWS Certified Solutions Architect – Associate exam validates technical expertise in designing and deploying scalable, highly available, and fault-tolerant systems on AWS. Join this half-day, intermediate-level bootcamp to learn how to prepare for the exam by exploring the exam’s topic areas and how they map to architecting on AWS and to specific areas to study. The bootcamp reviews sample exam questions in each topic area and teaches you how to interpret the concepts being tested so that you can more easily eliminate incorrect responses. Attendees also receive a voucher for a free online practice exam.	17635
		Session enrollment has not yet begun.<br /><br />Session Time Full	Monday, Nov 27, 1:00 PM	5:00 PM	Mirage, Grand Ballroom E	2142	0	11638	AWS Certification Exam Readiness: SysOps Administrator – Associate (Monday PM)	BCP14 -	The AWS Certifed SysOps Administrator – Associate exam validates technical expertise in deployment, management, security, and operations on the AWS platform. Join this half-day, intermediate-level bootcamp to learn how to prepare for the exam by exploring the exam’s topic areas and how they map to SysOps on AWS and to specific areas to study. The bootcamp reviews sample exam questions in each topic area and teaches you how to interpret the concepts being tested so that you can more easily eliminate incorrect responses. Attendees also receive a voucher for a free online practice exam.	17630
		Session enrollment has not yet begun.<br /><br />Session Time Full	Monday, Nov 27, 1:00 PM	5:00 PM	Mirage, St. Croix B	2147	0	11645	AWS Well-Architected Framework (Monday PM)	BCP21 -	This is a half-day, advanced-level bootcamp that describes the benefits of the AWS Well-Architected Framework, which enables customers to review and improve their cloud architectures and better understand the business impact of their design decisions. It addresses general design principles, best practices, and guidance in five pillars of the Well-Architected Framework.	17623
		Session enrollment has not yet begun.<br /><br />Session Time Full	Tuesday, Nov 28, 9:00 AM	5:00 PM	Mirage, Events Center C1	2144	0	11652	Building a Smart Assistant with AWS AI Services (Tuesday)	BCP28 -	How can you build a hardware smart assistant by taking advantage of the many services from AWS? In this full-day, advanced-level bootcamp, learn how to build a voice-activated smart assistant on a Raspberry Pi. Take a deep dive on each of the services the application will be built with: Amazon Lex for a chatbot with automatic speech recognition/natural language understanding, Amazon Polly for lifelike speech, and Amazon Rekognition for image analysis. Developers who have an interest in building applications with Amazon AI services will get hands-on experience with this bootcamp. Note: Attendees take home the Raspberry Pi solution for continued experimentation.	17616
		Session enrollment has not yet begun.<br /><br />Session Time Full	Wednesday, Nov 29, 1:00 PM	5:00 PM	Mirage, Antigua A	2149	0	11659	Migrate from that Expensive Database to AWS Aurora! (Wednesday)	BCP35 -	This half-day, intermediate-level bootcamp gives attendees an overview of how to migrate database workloads from Oracle to Aurora using AWS SCT (Schema Conversion Tool) and AWS DMS (Database Migration Service). It discusses migrating complex functions, schemes, and ETL (Extract Transform Load) workloads to AWS. The bootcamp explains the common database workloads that use Oracle and analyzes the requirements for moving that workload to AWS, using best practices. The bootcamp also covers migrating ETL workloads to AWS Glue (A fully managed ETL service).	17609
		Session enrollment has not yet begun.<br />	Wednesday, Nov 29, 1:00 PM	2:00 PM	Venetian, Level 4, Delfino 4005	1982	0	11418	Auto Scaling: The Fleet Management Solution for Planet Earth	CMP201 -	Auto Scaling allows cloud resources to scale automatically in reaction to the dynamic needs of customers. This session shows how Auto Scaling offers an advantage to everyone—whether it's basic fleet management to keep instances healthy as an Amazon EC2 best practice, or dynamic scaling to manage extremes. We share examples of how Auto Scaling helps customers of all sizes and industries unlock use cases and value. We also discuss how Auto Scaling is evolving to scaling different types of elastic AWS resources beyond EC2 instances. Data Scientist & Principal Investigator, Hook Hua, from NASA Jet Propulsion Laboratory (JPL) / California Institute of Technology will share how Auto Scaling is used to scale science data processing of remote sensing data from earth-observing satellite missions, and reduce response times during hazard response events such as those from earthquakes, hurricanes, floods, and volcanoes. JPL will also discuss how they are integrating their science data systems with the AWS ecosystem to expand into NASA’s next two large-scale missions with remote-sensing radar-based observations. Learn how Auto Scaling is being used at a global scale – and beyond!	14605
		Session enrollment has not yet begun.<br />	Tuesday, Nov 28, 7:00 PM	8:00 PM	Venetian, Level 2, Venetian E	1989	0	10326	AWS Batch: Easy and Efficient Batch Computing on AWS	CMP323 -	AWS Batch is a fully managed service that enables developers to easily and efficiently run batch computing workloads of any scale on AWS. AWS Batch automatically provisions the right quantity and type of compute resources needed to run your jobs. With AWS Batch, you don't need to install or manage batch computing software, so you can focus on analyzing results and solving problems. In this session, the Principal Product Manager for Batch, Jamie Kinney, will describe the core concepts behind AWS Batch and details of how the service functions. The presentation will then demonstrate the latest features of AWS Batch with relevant use cases and sample code before describing some of the upcoming features for the service. Finally, hear from AWS Batch customers as they describe why and how they are using Batch.  This portion of the talk will be delivered by representatives from the University of Utah, Autodesk, and AdRoll.	14612
		Session enrollment has not yet begun.<br />	Monday, Nov 27, 1:00 PM	2:00 PM	Venetian, Level 3, Lido 3006	1941	0	10153	Modernizing the Energy and Utilities Industry with IoT: Moving SCADA to the Cloud	EUT303 -	"Supervisory Control and Data Acquisition (SCADA) systems are critical real-time software applications used to manage nearly any form of upstream, midstream, and downstream processes in the energy industry. Traditionally, these technologies have been deployed on premises and managed separately from core IT, to ensure security, availability and consistent performance. 
 
 As energy and utility companies expand geographically, and the number and types of sensors in each location grow, disparate and growing data streams are becoming increasingly complex and challenging to manage. It is estimated that up to 95% of valuable device and sensor information is left stranded in the field, information that could prove valuable to machine learning, predictive analytics, and process optimization. 
  
 In this session, energy and utility customers will learn how easy it is to implement IIoT on AWS, so they can easily extract value from additional devices and sensors, and innovate faster. We will dive into a reference architecture for accessing current mission critical SCADA data as well as previously stranded data into AWS using Kinesis and DynamoDB, ultimately enabling customers to reduce downtime, increase efficiencies, improve reliability, and gain more business insights through connected data."	14600
		Session enrollment has not yet begun.<br />	Friday, Dec 1, 8:30 AM	9:30 AM	Venetian, Level 1, Casanova 507	1960	0	11079	Deploying Machine Learning Models on AWS Services: Amazon ECS, Amazon EMR, AWS Batch, and AWS Lambda	MCL404 -	Learn about deploying machine learning models on AWS and perform predictions in real time with low latency and high availability. We walk-though architectures to separate model generation from prediction with services such as Amazon ECS, Amazon EMR, AWS Batch, and AWS Lambda. We also cover using AWS DevOps tools to ingrate these workflows into your CI/CD pipeline.	14643
		Session enrollment has not yet begun.<br />	Wednesday, Nov 29, 4:45 PM	5:45 PM	Venetian, Level 4, Marcello 4405	1985	0	11405	Scaling Convolutional Neural Networks with Kubernetes and TensorFlow on AWS	MCL305 -	In this session, Reza Zadeh, CEO of Matroid, presents a Kubernetes deployment on Amazon Web Services that provides customized computer vision to a large number of users. Reza offers an overview of Matroid’s pipeline and demonstrates how to customize computer vision neural network models in the browser, followed by building, training, and visualizing TensorFlow models, which are provided at scale to monitor video streams.	14073
		Session enrollment has not yet begun.<br />	Wednesday, Nov 29, 2:30 PM	3:30 PM	Aria, Level 1, Bluethorn 2	2020	0	11189	A Serverless Pipeline for Video Frame Analysis and Alerting	SRV325 -	Imagine being able to capture live video streams, identify objects in real time using artificial intelligence (AI), and then trigger actions or notifications based on that – all without a single server to manage! This is exactly what this session can help you accomplish. Learn how to use a digital camera to stream a live video. Then capture individual frames and stream them to Amazon Kinesis. You can trigger an AWS Lambda function to invoke Amazon Rekognition to label objects in those frames. The Lambda function can also send out SMS notifications via Amazon SNS. This session includes a live demo.	16459
		Session enrollment has not yet begun.<br />	Tuesday, Nov 28, 4:45 PM	5:45 PM	Aria, Level 1, Bluethorn 3	2021	0	11185	ServerLESS is More	SRV323 -	When you are building a serverless application, AWS Lambda gives you the ability to scale your service all the way from your first test user to your millionth customer.  But – at the architectural level, at the implementation level – how do you get the most out of your Lambda function?  We dive deep into Lambda, with best practices for making your serverless application a lean, mean, scalable machine.	16447
		Session enrollment has not yet begun.<br />	Tuesday, Nov 28, 11:30 AM	12:30 PM	Aria, Level 1, Bluethorn 2	2020	0	11186	How to Approach Continuous Integration for Serverless Applications	SRV326 -	Continuous integration is the practice of merging all working copies of developer code into one shared mainline several times a day. Best practices include automation of builds and deployments, with fast and self-testing builds, as well as production-like testing environments. With serverless, the continuous integration pipeline evolves from a one-lane, one-way street into a multiple-lane, two-way highway. In this talk, we take a simple serverless application and walk you through the steps to set up unit testing, end-to-end testing, code coverage, code analysis, code security, code performance, and peer code review. Developers learn how to use AWS serverless components in combination with GitHub, Travis, Code Climate, Snyk and other serverless-friendly services.	16461
		Session enrollment has not yet begun.<br />	Wednesday, Nov 29, 1:00 PM	2:00 PM	Aria, Level 1, Bluethorn 2	2020	0	11188	AWS Lambda and the JVM	SRV324 -	The modern Java Virtual Machine (JVM) is the culmination of millions of hours of expert engineering, and is the foundation on which enormous portions of the digital landscape are built. However, as a runtime for AWS Lambda functions, it is often derided as a poor fit for an ephemeral world. However, the JVM is an excellent choice of runtime for a wide range of AWS Lambda use cases, and developers don’t need to constrain themselves to just the Java language to use it. In this chalk talk, Symphonia’s John Chapin gives a brief overview of AWS Lambda development using Java and Maven, outlines use cases (good and bad), and gives strategies and tips for developing performant JVM-based AWS Lambda functions. An extensive Q&A and whiteboarding session follow the presentation.	16454
		Session enrollment has not yet begun.<br />	Friday, Dec 1, 8:30 AM	9:30 AM	Aria, Level 3, Starvine 5	2022	0	11193	Using AWS SAM to Develop, Deploy, and Monitor Serverless Applications	SRV423 -	AWS Serverless Application Model (AWS SAM) simplifies the creation and management of serverless applications. It is simple enough to help you get started, yet powerful enough to deploy to production. Come and learn how to use AWS SAM to get started on a serverless application and take it to production. We build a serverless app from scratch, and in the process, we learn best practices for authoring, deploying, and managing a serverless application using SAM.	14225
		Session enrollment has not yet begun.<br />	Wednesday, Nov 29, 2:30 PM	3:30 PM	Aria, Level 3, Juniper 4	2030	0	11443	Deep Dive into Container Scheduling with Amazon ECS	CON404 -	As your application’s infrastructure grows and scales, well-managed container scheduling is critical to ensuring high-availability and resource optimization. In this session, we will deep dive into the challenges and opportunities around container scheduling, as well as the different tools available within Amazon ECS and AWS to carry out efficient container scheduling. We will discuss patterns for container scheduling available with Amazon ECS, the Blox scheduling framework, and how you can customize and integrate third-party scheduler frameworks to manage container scheduling on Amazon ECS.	14105
		Session enrollment has not yet begun.<br />	Tuesday, Nov 28, 9:15 AM	11:45 AM	Aria, Level 3, Starvine 10	2034	0	10194	Test Automation for Alexa Skills	ALX315 -	Automated testing is an essential part of assuring the quality and functional state of your software. One of the biggest challenges in automating your testing can be the simulating user interaction with your UI. For Alexa custom skills, users generally interact via multi-step conversations, which result in a request-response flow to your endpoint. The right set of tools and APIs can help you tackle the complexity of simulating such interactions in an automated fashion. This session demonstrates how to create conversational scripts that can be executed against an Alexa skill endpoint to validate the skill’s output against predefined assertions. You'll leave this talk armed with practical knowledge of how to establish powerful test automation suites for your Alexa skills, helping you ensure that your new skills behave exactly as you expect, and that you don’t accidentally break things while working on new versions. Bring your own laptop and AWS account.	16360
		Session enrollment has not yet begun.<br />	Wednesday, Nov 29, 3:15 PM	5:45 PM	Aria, Level 3, Starvine 10	2034	0	10193	How to Build a Professional Grade Backend for Alexa	ALX316 -	In this hands-on workshop, you learn how to build professional-grade cloud services to use the APIs for Alexa Smart Home, Amazon’s intelligent voice recognition and natural language understanding service. When you're building an Alexa skill to manage household infrastructure, like lighting and heating, customers now expect and need always-on and secure services. In this session, learn how to architect a solution that meets those expectations. Key topics include a technology overview, architecture, managing continuous integration pipelines, roll-back strategies, and metrics monitoring.	16365
